fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220525 152027	-0.29881604785478	2776	979	7	5	9592000	1
20220525 152103	-0.425549363478785	5497	800	11	5	8754000	2
20220525 152139	-0.0939867286011576	4428	1041	17	5	8872000	3
20220525 152209	-0.584152088555857	6476	1399	8	5	8118000	4
20220525 152230	0.0621733800318909	2249	518	5	5	0	5
20220525 152310	-0.603077930767904	3877	452	14	5	9126000	6
20220525 152344	-0.34671255362191	7148	1152	15	5	8239000	7
20220525 152450	-0.791625117245712	6538	1979	15	5	8650000	8
20220525 152544	-0.151498584460933	4645	328	16	5	8902000	9
20220525 152612	-0.0359797617726143	5928	727	4	5	8514000	10
20220525 152738	-0.498518146447895	496	36	9	5	8716000	11
20220525 152827	-0.952711875938985	7876	156	19	5	8080000	12
20220525 152914	-0.881836719735293	1937	916	13	5	10003000	13
20220525 153020	-0.299331016471842	4094	1044	16	5	8872000	14
20220525 153046	0.00511384971323436	3856	498	4	5	0	15
20220525 153155	-0.456536464457167	7063	1626	9	5	8239000	16
20220525 153337	-0.980360266489712	7625	942	10	5	8492000	17
20220525 153454	-0.0301883915919422	1900	900	15	5	9997000	18
20220525 153612	-0.995044266511436	1786	893	18	5	10429000	19
20220525 153654	-0.519585195828137	1867	932	20	5	10124000	20
20220525 153737	-0.995900097472263	3740	438	20	5	9127000	21
20220525 153819	-0.649023024973715	1654	821	20	5	9590000	22
20220525 153839	-0.664420215145962	1786	889	3	5	8326000	23
20220525 153952	-0.775361207434335	5658	897	19	5	8678000	24
20220525 154039	-0.987599028129417	1907	952	17	5	9901000	25
20220525 154123	-0.971822662127792	1452	701	16	5	10492000	26
20220525 154206	-0.997477591552039	1287	632	18	5	10229000	27
20220525 154245	-0.999958507104695	7443	620	16	5	8492000	28
20220525 154306	0.0760265691455496	1388	693	17	5	0	29
20220525 154325	-0.0282989483131704	7563	879	3	5	8492000	30
20220525 154413	-0.646401311141639	1152	323	16	5	10268000	31
20220525 154456	-0.996421073856912	1602	792	16	5	9947000	32
20220525 154538	-0.550856906588007	6940	332	20	5	8593000	33
20220525 154619	-0.24822327066162	1878	925	13	5	10130000	34
20220525 154712	-0.998684793711523	1402	700	8	5	10388000	35
20220525 154933	-0.85009743908039	773	380	13	5	9819000	36
20220525 155123	-0.425581230398924	472	236	14	5	8147000	37
20220525 155145	-0.687328072865854	6542	726	3	5	8400000	38
