max_depth	minbucket	min_split	cp	ganancia_promedio
5	320	800	-0.03	4624667
5	320	800	-0.07	4624667
5	320	800	-0.1	4624667
5	320	810	-0.03	4624667
5	320	810	-0.07	4624667
5	320	810	-0.1	4624667
5	320	820	-0.03	4624667
5	320	820	-0.07	4624667
5	320	820	-0.1	4624667
5	320	830	-0.03	4624667
5	320	830	-0.07	4624667
5	320	830	-0.1	4624667
5	320	840	-0.03	4624667
5	320	840	-0.07	4624667
5	320	840	-0.1	4624667
5	320	850	-0.03	4624667
5	320	850	-0.07	4624667
5	320	850	-0.1	4624667
5	320	860	-0.03	4624667
5	320	860	-0.07	4624667
5	320	860	-0.1	4624667
5	320	870	-0.03	4624667
5	320	870	-0.07	4624667
5	320	870	-0.1	4624667
5	325	800	-0.03	4618000
5	325	800	-0.07	4618000
5	325	800	-0.1	4618000
5	325	810	-0.03	4618000
5	325	810	-0.07	4618000
5	325	810	-0.1	4618000
5	325	820	-0.03	4618000
5	325	820	-0.07	4618000
5	325	820	-0.1	4618000
5	325	830	-0.03	4618000
5	325	830	-0.07	4618000
5	325	830	-0.1	4618000
5	325	840	-0.03	4618000
5	325	840	-0.07	4618000
5	325	840	-0.1	4618000
5	325	850	-0.03	4618000
5	325	850	-0.07	4618000
5	325	850	-0.1	4618000
5	325	860	-0.03	4618000
5	325	860	-0.07	4618000
5	325	860	-0.1	4618000
5	325	870	-0.03	4618000
5	325	870	-0.07	4618000
5	325	870	-0.1	4618000
5	330	800	-0.03	4606667
5	330	800	-0.07	4606667
5	330	800	-0.1	4606667
5	330	810	-0.03	4606667
5	330	810	-0.07	4606667
5	330	810	-0.1	4606667
5	330	820	-0.03	4606667
5	330	820	-0.07	4606667
5	330	820	-0.1	4606667
5	330	830	-0.03	4606667
5	330	830	-0.07	4606667
5	330	830	-0.1	4606667
5	330	840	-0.03	4606667
5	330	840	-0.07	4606667
5	330	840	-0.1	4606667
5	330	850	-0.03	4606667
5	330	850	-0.07	4606667
5	330	850	-0.1	4606667
5	330	860	-0.03	4606667
5	330	860	-0.07	4606667
5	330	860	-0.1	4606667
5	330	870	-0.03	4606667
5	330	870	-0.07	4606667
5	330	870	-0.1	4606667
5	335	800	-0.03	4601333
