max_depth	min_bucket	min_split	peso_error	cp	ganancia_promedio
4	300	1400	1	-0.1	10806000
4	300	1400	10	-0.1	11488000
4	300	1400	100	-0.1	10870000
4	300	1400	200	-0.1	9916000
4	300	1400	244	-0.1	10328000
4	300	1400	270	-0.1	10328000
4	300	1400	300	-0.1	10341333
4	300	1400	350	-0.1	10988000
4	300	1400	400	-0.1	10428667
4	300	1400	450	-0.1	10140000
4	300	1200	1	-0.1	10806000
4	300	1200	10	-0.1	11388000
4	300	1200	100	-0.1	10870000
4	300	1200	200	-0.1	9916000
4	300	1200	244	-0.1	10328000
4	300	1200	270	-0.1	10328000
4	300	1200	300	-0.1	10341333
4	300	1200	350	-0.1	10988000
4	300	1200	400	-0.1	10428667
4	300	1200	450	-0.1	10140000
4	300	1000	1	-0.1	10760667
4	300	1000	10	-0.1	11327333
4	300	1000	100	-0.1	10870000
4	300	1000	200	-0.1	9916000
4	300	1000	244	-0.1	10328000
4	300	1000	270	-0.1	10328000
4	300	1000	300	-0.1	10341333
4	300	1000	350	-0.1	10988000
4	300	1000	400	-0.1	10428667
4	300	1000	450	-0.1	10140000
4	300	800	1	-0.1	10670667
4	300	800	10	-0.1	11327333
4	300	800	100	-0.1	10870000
4	300	800	200	-0.1	9916000
4	300	800	244	-0.1	10328000
4	300	800	270	-0.1	10328000
4	300	800	300	-0.1	10341333
4	300	800	350	-0.1	10988000
4	300	800	400	-0.1	10428667
4	300	800	450	-0.1	10140000
4	300	600	1	-0.1	10670667
4	300	600	10	-0.1	11327333
4	300	600	100	-0.1	10870000
4	300	600	200	-0.1	9916000
4	300	600	244	-0.1	10328000
4	300	600	270	-0.1	10328000
4	300	600	300	-0.1	10341333
4	300	600	350	-0.1	10988000
4	300	600	400	-0.1	10428667
4	300	600	450	-0.1	10140000
4	340	1400	1	-0.1	10806000
4	340	1400	10	-0.1	11299333
4	340	1400	100	-0.1	10870000
4	340	1400	200	-0.1	9916000
4	340	1400	244	-0.1	10328000
4	340	1400	270	-0.1	10328000
4	340	1400	300	-0.1	10341333
4	340	1400	350	-0.1	10988000
4	340	1400	400	-0.1	10428667
4	340	1400	450	-0.1	10140000
4	340	1200	1	-0.1	10806000
4	340	1200	10	-0.1	11182000
4	340	1200	100	-0.1	10870000
4	340	1200	200	-0.1	9916000
4	340	1200	244	-0.1	10328000
4	340	1200	270	-0.1	10328000
4	340	1200	300	-0.1	10341333
4	340	1200	350	-0.1	10988000
4	340	1200	400	-0.1	10428667
4	340	1200	450	-0.1	10140000
4	340	1000	1	-0.1	10705333
4	340	1000	10	-0.1	11103333
4	340	1000	100	-0.1	10870000
4	340	1000	200	-0.1	9916000
4	340	1000	244	-0.1	10328000
4	340	1000	270	-0.1	10328000
4	340	1000	300	-0.1	10341333
4	340	1000	350	-0.1	10988000
4	340	1000	400	-0.1	10428667
4	340	1000	450	-0.1	10140000
4	340	800	1	-0.1	10615333
4	340	800	10	-0.1	11103333
4	340	800	100	-0.1	10870000
4	340	800	200	-0.1	9916000
4	340	800	244	-0.1	10328000
4	340	800	270	-0.1	10328000
4	340	800	300	-0.1	10341333
4	340	800	350	-0.1	10988000
4	340	800	400	-0.1	10428667
4	340	800	450	-0.1	10140000
4	380	1400	1	-0.1	10904000
4	380	1400	10	-0.1	11346667
4	380	1400	100	-0.1	10870000
4	380	1400	200	-0.1	9916000
4	380	1400	244	-0.1	10328000
4	380	1400	270	-0.1	10328000
4	380	1400	300	-0.1	10341333
4	380	1400	350	-0.1	10988000
4	380	1400	400	-0.1	10428667
4	380	1400	450	-0.1	10140000
4	380	1200	1	-0.1	10904000
4	380	1200	10	-0.1	11220667
4	380	1200	100	-0.1	10870000
4	380	1200	200	-0.1	9916000
4	380	1200	244	-0.1	10328000
4	380	1200	270	-0.1	10328000
4	380	1200	300	-0.1	10341333
4	380	1200	350	-0.1	10988000
4	380	1200	400	-0.1	10428667
4	380	1200	450	-0.1	10140000
4	380	1000	1	-0.1	10803333
4	380	1000	10	-0.1	11155333
