fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220520 204131	-0.130445669962501	2374	770	12	5	9717000	1
20220520 204159	-0.746913004164526	1513	667	11	5	10147000	2
20220520 204226	-0.517503646138357	4677	972	13	5	9015000	3
20220520 204252	-0.241197381245729	7427	1463	19	5	8636000	4
20220520 204318	-0.0816227253118995	2704	332	9	5	9690000	5
20220520 204333	0.0631502011718112	3020	1042	18	5	0	6
20220520 204438	-0.562894520252303	6097	1847	10	5	8718000	7
20220520 204505	-0.595730764667678	5039	110	6	5	8838000	8
20220520 204518	-0.901747864228673	7798	1299	3	5	8636000	9
20220520 204543	-0.662936512818851	5900	1986	20	5	8678000	10
20220520 204601	0.0120336262712955	6617	466	16	5	0	11
20220520 204722	-0.802352612718823	3503	164	17	5	9119000	12
20220520 204812	-0.275483573065139	4234	1130	4	5	8691000	13
20220520 204855	0.0696783757458133	5027	742	13	5	0	14
20220520 205018	-0.49913930670203	7137	649	19	5	8374000	15
20220520 205051	-0.721840529306792	3583	733	8	5	9315000	16
20220520 205114	-0.103216990807818	793	1	3	5	8571000	17
20220520 205320	-0.698629579583581	189	94	20	5	6693000	18
20220520 205406	-0.767730549597164	2228	1107	3	5	8642000	19
20220520 205527	-0.170460871418225	3774	10	8	5	8522000	20
20220520 205650	-0.754375486074717	6603	874	13	5	8806000	21
20220520 205813	-0.0973182710797416	4008	1990	20	5	8831000	22
20220520 210640	-0.748802567674062	2992	1496	16	5	8973000	23
20220520 210822	-0.852635126375575	872	269	11	5	8961000	24
20220520 210936	-0.106266480236896	3345	1669	7	5	8815000	25
20220520 211115	-0.106141200309973	2410	1	20	5	8967000	26
20220520 211236	-0.758974712703504	1791	4	11	5	9509000	27
20220520 211307	-0.234545533074574	2064	1029	18	5	9735000	28
20220520 211340	-0.313307341273695	2788	1394	20	5	9205000	29
20220520 211534	-0.27720302734659	164	71	13	5	6519000	30
20220520 211658	-0.219904275630475	3801	1891	20	5	8968000	31
20220520 212559	-0.39007718655861	5055	1504	15	5	8225000	32
20220520 212641	-0.886601164816288	5722	587	20	5	8925000	33
20220520 212709	-0.955488473027255	3647	622	11	5	9022000	34
20220520 212736	-0.632149520662449	2330	1161	9	5	9485000	35
20220520 212804	-0.846624482411216	4685	2000	11	5	8678000	36
20220520 212835	-0.990330204599264	8000	75	14	5	8208000	37
20220520 212849	-0.543322399278495	1512	743	3	5	8899000	38
20220520 212914	-0.650404723387526	8000	862	10	5	8236000	39
20220520 212942	-0.563175019332625	2867	1423	20	5	9075000	40
20220520 213011	-0.261764108907404	4295	624	20	5	9053000	41
20220520 213042	-0.0896178765396185	1645	819	12	5	9539000	42
20220520 213112	-0.168418805790191	2253	1120	20	5	9272000	43
20220520 213137	-0.94993599890006	5993	1999	20	5	8731000	44
20220520 213211	-0.790172358000283	1504	748	12	5	9474000	45
20220520 213240	-0.735665911448809	1383	689	9	5	10201000	46
20220520 213305	-0.0981649011549647	7997	541	10	5	8236000	47
20220520 213335	-0.459499770850892	2187	1093	20	5	9441000	48
20220520 213349	-0.458885438777107	2981	1487	3	5	8459000	49
20220520 213457	-0.999819257286525	546	268	20	5	8895000	50
20220520 213631	-0.917950434963442	1790	884	20	5	10107000	51
20220520 213852	-0.982800073008598	7570	2	15	5	8504000	52
20220520 213921	-0.631892076814426	2126	1062	9	5	9783000	53
20220520 213939	-0.550669391503551	1599	798	4	5	8979000	54
20220520 214005	-0.840003171084614	4682	1999	12	5	8678000	55
20220520 214034	-0.58534821564163	2598	1278	14	5	9118000	56
20220520 214114	-0.730472456493513	1424	711	9	5	10309000	57
20220520 214236	-0.685542666323439	1614	807	8	5	9664000	58
20220520 214430	-0.999980388653268	747	235	20	5	8992000	59
20220520 214548	-0.999964280703442	4213	2000	20	5	8831000	60
20220520 214612	-0.999954671992817	273	134	3	5	8885000	61
20220520 214638	-0.640407330897504	8000	979	11	5	8236000	62
20220520 225120	-0.647944208374839	7998	644	8	5	8236000	64
20220520 225148	-0.626730324888686	2275	1135	10	5	9321000	65
20220520 225215	-0.834671087889322	4816	873	11	5	8893000	66
20220520 225230	-0.542560291617465	1612	806	3	5	8876000	67
20220520 225258	-0.262344305722089	4360	628	20	5	9053000	68
20220520 225325	-0.558543305956781	2991	1490	20	5	8986000	69
20220520 225339	-0.999847543303565	5837	1996	3	5	8439000	70
20220520 225407	-0.736256567186366	1351	674	9	5	9970000	71
20220520 225439	-0.999886076475085	1074	532	20	5	9606000	72
20220520 225457	-0.99990672474525	156	47	4	5	8741000	73
20220520 225542	-0.933286316927712	845	422	20	5	8882000	74
20220520 225612	-0.0872749622792889	1845	903	13	5	9931000	75
20220520 225641	-0.176636989698071	2191	1094	20	5	9441000	76
20220520 225708	-0.999942749149255	3301	1641	20	5	8831000	77
20220520 225737	-0.453973274570544	2177	1087	20	5	9493000	78
20220520 225752	-0.460167362632531	2829	1412	3	5	8459000	79
20220520 225837	-0.999988935027352	2633	3	20	5	9173000	80
20220520 225850	-0.322064552589996	8000	1	3	5	8236000	81
20220520 225919	-0.777341543802428	1392	691	13	5	10200000	82
20220520 225949	-0.794899604078898	1492	735	12	5	9581000	83
20220520 230020	-0.765080238069523	1221	609	14	5	10008000	84
20220520 230108	-0.493918457493186	1574	2	18	5	9902000	85
20220520 230151	-0.473942881268346	3174	3	20	5	8786000	86
20220520 230220	-0.501716688512723	1343	669	15	5	10008000	87
20220520 230313	-0.499913125823249	8	4	20	5	3210000	88
20220520 230342	-0.682721808926998	1570	774	20	5	9705000	89
20220520 230356	-0.0925638927302788	2015	323	3	5	8885000	90
20220520 230428	-0.375603983711329	1591	783	14	5	9670000	91
20220520 230459	-0.182999888945933	1435	716	14	5	10310000	92
