fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220523 180635	813	16	385	25	5	10849000	1
20220523 182512	1245	11	373	17	5	11453000	2
20220523 192041	1620	25	496	31	5	10579000	3
20220523 201253	2065	14	146	27	5	10958000	4
20220523 214225	1769	24	196	44	5	9413000	5
20220523 215743	1097	9	262	19	5	11228000	6
20220523 222515	902	12	221	36	5	10727000	7
20220523 223812	2040	22	306	4	5	11577000	8
20220523 224317	494	19	71	8	5	10929000	9
20220523 230235	1538	5	453	34	5	10534000	10
20220523 230305	133	1	421	12	5	-4000	11
20220523 231426	2386	7	163	6	5	10878000	12
20220523 232256	671	4	120	44	5	10439000	13
20220524 010834	2275	27	2	40	5	7533000	14
20220524 012616	308	30	49	49	5	7776000	15
20220524 015426	1308	21	337	20	5	10918000	16
20220524 015758	748	21	1	2	5	11338000	17
20220524 020050	2001	4	497	2	5	1964000	18
20220524 190539	2499	7	139	50	5	10980000	19
20220524 190950	759	20	1	2	5	11474000	20
20220524 192049	2066	4	436	15	5	10386000	21
20220524 194509	1347	5	1	50	5	10333000	22
20220525 024117	2500	10	500	38	5	11105000	23
20220525 024735	1734	16	417	2	5	10840000	24
20220525 030152	653	18	1	21	5	9294000	25
20220525 033405	2098	9	301	23	5	11154000	26
20220525 033726	832	23	445	2	5	10689000	27
20220525 034720	2500	20	382	2	5	10850000	28
20220525 034753	102	14	500	2	5	10879000	29
20220525 035244	1716	10	1	2	5	10064000	30
20220525 040518	486	8	500	45	5	11043000	31
20220525 044747	2470	13	500	19	5	11401000	32
20220525 064730	2483	15	500	50	5	10378000	33
20220525 064811	100	21	138	2	5	10917000	34
20220525 070018	2409	22	1	2	5	11598000	35
20220525 070729	1877	12	500	2	5	10244000	36
20220525 070958	100	10	426	30	5	11083000	37
20220525 080227	1348	11	417	50	5	11136000	38
20220525 081221	2012	21	1	2	5	11159000	39
20220525 084303	1340	14	500	24	5	10920000	40
20220525 085852	2500	22	500	4	5	11140000	41
20220525 090452	1327	22	1	2	5	11478000	42
20220525 095940	2500	11	301	28	5	11284000	43
20220525 100113	100	7	241	26	5	11063000	44
20220525 103507	2474	7	500	26	5	10853000	45
20220525 103705	100	13	318	19	5	10887000	46
20220525 104558	2087	22	143	2	5	10904000	47
20220525 104642	100	19	364	2	5	10852000	48
20220525 134112	100	19	364	2	5	10852000	49
20220525 141128	2500	14	348	12	5	11398000	50
20220525 143141	2500	5	209	21	5	10678000	51
20220525 183559	2500	22	342	14	5	11191000	52
20220525 183631	100	15	239	2	5	10112000	53
20220525 194902	2500	13	350	33	5	10632000	54
20220525 195118	100	11	178	24	5	10714000	55
20220525 202056	1242	8	270	40	5	11055000	56
20220525 202133	100	22	350	2	5	11128000	57
20220525 203243	2500	25	387	2	5	10994000	58
20220525 204219	2500	14	1	2	5	10743000	59
20220525 204919	127	20	1	47	5	7224000	60
20220525 210011	2293	24	1	2	5	11300000	61
20220525 214641	2499	16	468	17	5	11166000	62
