fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220531 162053	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	171	TRUE	999983	0.0497066844198853	0.367651907075197	3463	603	0.0198473615246864	13498000	1
20220531 162106	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	31	TRUE	999983	0.124147532030707	0.79149801642634	1384	174	0.045616477644459	8141000	2
20220531 162115	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	13	TRUE	999983	0.249146736439085	0.598215241152793	4869	306	0.0352034663126688	10012000	3
20220531 162131	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	27	TRUE	999983	0.155839790848899	0.427933609820902	748	764	0.0242939267249312	10037000	4
20220531 162140	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	27	TRUE	999983	0.201538019528147	0.723698902726173	6634	476	0.0314924591764187	10960000	5
20220531 162152	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	52	TRUE	999983	0.175026581470505	0.616722080642357	5371	781	0.0465220476461885	8411000	6
20220531 162202	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	32	TRUE	999983	0.190398050327436	0.247782396087423	3756	1022	0.0219800141746722	12646000	7
20220531 162234	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	70	TRUE	999983	0.0642577469114913	0.496770000066608	2982	398	0.0367978189979719	9795000	8
20220531 162246	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	14	TRUE	999983	0.240424208553042	0.546254219375551	2396	568	0.0412893112452972	8722000	9
20220531 162256	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	50	TRUE	999983	0.135007830853225	0.669444278767332	6856	711	0.00846973562584026	11389000	10
20220531 162350	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	355	TRUE	999983	0.0187250366684748	0.942664155280218	4045	138	0.0279936480151567	11772000	11
20220531 162413	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	28	TRUE	999983	0.144913023834233	0.4443643110618	299	460	0.0139831895687773	10655000	12
20220531 162422	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	13	TRUE	999983	0.289049805189017	0.284825914958492	4687	249	0.0261217651573437	11643000	13
