fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	max_bin	num_iterations	force_row_wise	is_unbalance	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	lambda_l1	lambda_l2	min_gain_to_split	ganancia	iteracion
20220601 162030	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	139	TRUE	TRUE	0.216645272667614	0.52900639908039	2159	524	0.0223566442641337	14.6512501814868	54.2452518820937	844.749924632197	-3954000	1
20220601 162038	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	69	TRUE	TRUE	0.159995900381138	0.666803450859152	5941	448	0.0390993972448996	64.0719325565442	88.3237324458605	718.928184978722	-39180000	2
20220601 162057	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	319	TRUE	TRUE	0.173959016631059	0.629190098401159	5668	656	0.0283734867038826	32.9837490106001	93.8256813038606	339.142748016457	-15434000	3
20220601 162114	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	108	TRUE	TRUE	0.110388565281486	0.454922406736296	4648	194	0.0332609838776989	41.0408283016295	77.8841104707681	115.901989542181	-26465000	4
20220601 162122	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	2	TRUE	TRUE	0.0399696686040115	0.750588368653553	2705	795	0.0305405060681854	18.870693075587	42.7624453324825	629.691893969721	-22862000	5
20220601 162147	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	520	TRUE	TRUE	0.191816761814851	0.733985118928831	7386	349	0.0115123284099051	27.8768407457392	29.3975499182125	259.589781308023	575000	6
20220601 162158	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	169	TRUE	TRUE	0.188767761586692	0.716555811319267	7506	692	0.0374812535632979	71.8851367091702	39.2186466837302	713.67692615604	-7450000	7
20220601 162215	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	285	TRUE	TRUE	0.223977726261917	0.892621453054016	6826	121	0.0346559299846073	58.958690543659	33.5591622766515	409.33404192765	718000	8
20220601 162228	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	101	TRUE	TRUE	0.199287753843688	0.605174411018379	4104	372	0.0127870594325335	99.1348651790759	46.6294475394534	816.84918305109	-5987000	9
20220601 162250	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	288	TRUE	TRUE	0.131703695022181	0.940166314231465	1980	423	0.0145809883353043	52.6513590710238	47.1218939754181	29.2817988884053	4900000	10
20220601 162302	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	71	TRUE	TRUE	0.164856084968036	0.340167581645073	144	735	0.0241869879938652	40.4385252659267	69.7381148420391	403.55038211419	-10156000	11
20220601 162310	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	93	TRUE	TRUE	0.290282522603025	0.822292958176695	3543	851	0.0269373400504264	85.3091278666398	79.5864012405218	773.528728786914	-3799000	12
20220601 162324	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	91	TRUE	TRUE	0.143434964878703	0.501700914365938	4871	238	0.0262836401350796	7.55750879106927	72.3318208030832	656.839843337366	-30382000	13
20220601 162353	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	312	TRUE	TRUE	0.152002849085962	0.353505027492065	1184	27	0.0412523167913605	81.0673955216771	17.7014177992532	237.624008681451	-694000	14
20220601 162401	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	1	TRUE	TRUE	0.0328420014703952	0.851384665642399	3136	1009	0.0443126856899956	90.7548346302065	36.1831037698721	881.378906844475	-19120000	15
20220601 162411	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	2	TRUE	TRUE	0.0609654357790932	0.247680824465351	2759	956	0.0093122904819514	69.8875207221135	62.1960132615641	599.885353760328	-42713000	16
20220601 162425	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	256	TRUE	TRUE	0.0698041314171423	0.985410592152039	2283	565	0.0398219580818477	24.4563317726715	5.98094970482634	463.130734846345	-18021000	17
20220601 162501	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	470	TRUE	TRUE	0.0961583208929369	0.254408671404235	6183	899	0.0368126159696355	89.8683489096584	64.2516788779176	186.63270714751	-30741000	18
20220601 162510	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	111	TRUE	TRUE	0.277881679490209	0.915306742343819	4328	968	0.0174596713827365	2.94023451278917	57.0337417906558	561.046895374602	629000	19
20220601 162523	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	1	TRUE	TRUE	0.0521598078582101	0.408360437105875	1386	463	0.0487630689374782	59.9568667421408	68.1229926878586	525.059930048883	-23679000	20
20220601 162544	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	396	TRUE	TRUE	0.12071275825183	0.688734243641375	6697	509	0.0465991940935055	17.8167188823863	83.499609514547	71.2243535890593	-9030000	21
20220601 162604	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	1	TRUE	TRUE	0.0229481388067579	0.425981938285986	5249	173	0.0430137678144699	93.7711977647268	19.8037839872995	924.859500642924	-7078000	22
20220601 162630	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	1	TRUE	TRUE	0.0154702071509746	0.288055365643231	1728	615	0.0166511815827713	10.3918724445975	11.7265792105172	293.064967692771	-6540000	23
20220601 162644	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	100	TRUE	TRUE	0.231373954166695	0.843614289024845	3396	279	0.0152113302381622	28.8815426509245	22.7864342174144	971.474356556428	-2611000	24
20220601 162700	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	128	TRUE	TRUE	0.253784851043798	0.569171844987432	337	755	0.0204705701709221	65.9366502448393	13.6209271207917	350.509967101971	4988000	25
20220601 162816	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	906	TRUE	TRUE	0.10035604179775	0.476389812241541	7049	68	0.029582137100806	83.5936212024535	27.2791206552938	49.2497235318297	-3925000	26
