fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220531 174857	0	0	0	1	auto	depthwise	256	0	1	0.0652354344417108	0.715775754125789	3	5	0.0353933094253686	117	9998000	1
20220531 175820	0	0	0	1	auto	depthwise	256	0	1	0.091655412804801	0.87002083373256	5	14	0.0275282673280647	34	11106000	2
20220531 180218	0	0	0	1	auto	depthwise	256	0	1	0.149089661004371	0.412358383676037	9	24	0.014035064173125	20	12491000	3
20220531 180613	0	0	0	1	auto	depthwise	256	0	1	0.166865744823939	0.484300829498097	7	18	0.0482926437117082	17	7123000	4
20220531 181055	0	0	0	1	auto	depthwise	256	0	1	0.17893140291993	0.592606131834909	2	16	0.0388192836316496	10	6387000	5
20220531 181502	0	0	0	1	auto	depthwise	256	0	1	0.260142526582233	0.932298940271139	0	26	0.0318277053166336	1	3176000	6
20220531 181722	0	0	0	1	auto	depthwise	256	0	1	0.189605938228429	0.520070635518059	6	7	0.0147695048707343	17	11742000	7
20220531 182139	0	0	0	1	auto	depthwise	256	0	1	0.120358216911205	0.607632679035887	10	8	0.029223862355866	53	11099000	8
20220531 182638	0	0	0	1	auto	depthwise	256	0	1	0.222413195372676	0.741886124936864	2	17	0.00920309948414797	3	9677000	9
20220531 183715	0	0	0	1	auto	depthwise	256	0	1	0.0379642297134269	0.341254339637235	1	20	0.0422380616058945	79	6320000	10
20220531 184128	0	0	0	1	auto	depthwise	256	0	1	0.255735778139206	0.836820675209165	8	11	0.0182349396127393	16	11060000	11
20220531 184544	0	0	0	1	auto	depthwise	256	0	1	0.210587764930562	0.648713761428371	10	28	0.0244274872505533	14	10609000	12
20220531 184817	0	0	0	1	auto	depthwise	256	0	1	0.1282330294844	0.237924317279831	8	13	0.0411782622216075	43	8030000	13
20220531 185834	0	0	0	1	auto	depthwise	256	0	1	0.0728467426460702	0.761862363759428	0	23	0.0210174952968373	4	1122000	14
20220531 190117	0	0	0	1	auto	depthwise	256	0	1	0.238945366009022	0.303416359126568	4	30	0.0270036751273437	9	9161000	15
20220531 190838	0	0	0	1	auto	depthwise	256	0	1	0.0461876232494833	0.889851525183767	4	2	0.0370004996982364	422	10311000	16
20220531 191011	0	0	0	1	auto	depthwise	256	0	1	0.110024488419993	0.248142626434565	5	3	0.0118470618399442	108	12825000	17
20220531 191604	0	0	0	1	auto	depthwise	256	0	1	0.275007803725079	0.97428620453924	6	21	0.0442534420615023	7	7092000	18
20220531 191806	0	0	0	1	auto	depthwise	256	0	1	0.288634386049933	0.398106985073537	1	10	0.0468905761493564	2	6067000	19
20220531 194512	0	0	0	1	auto	depthwise	256	0	1	0.0158110893792473	0.467323732739314	9	26	0.0188238350548393	305	13173000	20
20220531 200947	0	0	0	1	auto	depthwise	256	0	1	0.0100462909040232	0.54806613040174	9	12	0.0115913645683618	164	13097000	21
20220531 202348	0	0	0	1	auto	depthwise	256	0	1	0.0114367029623324	0.593205445263037	4	2	0.00834711388819086	1005	11524000	22
20220531 203731	0	0	0	1	auto	depthwise	256	0	1	0.0100000265705861	0.200226068694795	9	7	0.0172406058814894	607	13289000	23
