fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220531 190811	0	0	0	1	hist	lossguide	256	0	1	0.106925094249193	0.84715156301856	6	390	0.0140005517212558	20	11851000	1
20220531 190847	0	0	0	1	hist	lossguide	256	0	1	0.166218330454314	0.945135970301926	7	457	0.0289048522448866	26	9157000	2
20220531 190924	0	0	0	1	hist	lossguide	256	0	1	0.172476291609462	0.632497510248795	2	642	0.0466900419696079	7	5722000	3
20220531 191255	0	0	0	1	hist	lossguide	256	0	1	0.0110373972293455	0.507425265377387	8	150	0.0297490318179674	269	10512000	4
20220531 191341	0	0	0	1	hist	lossguide	256	0	1	0.0945407045707106	0.208481607232243	8	788	0.0424022263439838	58	7661000	5
20220531 191409	0	0	0	1	hist	lossguide	256	0	1	0.251435363685014	0.679099024031311	5	768	0.0447570296950289	8	7267000	6
20220531 191430	0	0	0	1	hist	lossguide	256	0	1	0.210433850390837	0.387616221252829	0	483	0.0186779802669965	2	496000	7
20220531 191509	0	0	0	1	hist	lossguide	256	0	1	0.14011357745924	0.68987823295407	2	349	0.0160937258124856	9	9439000	8
20220531 191548	0	0	0	1	hist	lossguide	256	0	1	0.125390546294861	0.544483030643314	5	1019	0.0250439969007857	28	9516000	9
20220531 191615	0	0	0	1	hist	lossguide	256	0	1	0.223169270743965	0.911742545915768	9	543	0.0319515710512254	12	9936000	10
20220531 191648	0	0	0	1	hist	lossguide	256	0	1	0.141262950658565	0.27996240128763	6	279	0.036745909921107	17	8948000	11
20220531 191752	0	0	0	1	hist	lossguide	256	0	1	0.0757047253766795	0.994365499150008	1	851	0.0344625011440561	12	5377000	12
20220531 191821	0	0	0	1	hist	lossguide	256	0	1	0.267193425066536	0.761160470582545	4	251	0.0198876717030847	9	9846000	13
20220531 191848	0	0	0	1	hist	lossguide	256	0	1	0.286480965625378	0.329664681823924	4	705	0.024353823789473	5	9193000	14
20220531 191945	0	0	0	1	hist	lossguide	256	0	1	0.0544607904857257	0.725207557333633	7	593	0.0380065763291592	42	8653000	15
20220531 192053	0	0	0	1	hist	lossguide	256	0	1	0.0453619242155692	0.479936794964597	3	175	0.0117713507584995	25	12304000	16
20220531 192124	0	0	0	1	hist	lossguide	256	0	1	0.190639412028366	0.597912947190925	0	84	0.0499243486177875	4	1690000	17
20220531 192149	0	0	0	1	hist	lossguide	256	0	1	0.273401602670201	0.824080628417432	10	944	0.00947551270849848	10	11151000	18
20220531 192334	0	0	0	1	hist	lossguide	256	0	1	0.0341669779289514	0.317283248342574	1	921	0.0400534113548929	37	3693000	19
20220531 192400	0	0	0	1	hist	lossguide	256	0	1	0.237223815772333	0.415411684988067	10	14	0.0223689823406554	38	11583000	20
20220531 192647	0	0	0	1	hist	lossguide	256	0	1	0.0100137801689194	0.729487205977264	4	43	0.0083669421094607	51	12531000	21
20220531 192958	0	0	0	1	hist	lossguide	256	0	1	0.0114647704213295	0.754480235274241	4	361	0.00837249759085281	45	12669000	22
20220531 193216	0	0	0	1	hist	lossguide	256	0	1	0.0118040742377461	0.817927262968249	10	95	0.00833436456634784	29	12204000	23
20220531 193529	0	0	0	1	hist	lossguide	256	0	1	0.0101303582412809	0.500847231759787	5	240	0.00833962226407402	56	12454000	24
20220531 193605	0	0	0	1	hist	lossguide	256	0	1	0.116693183561594	0.622661785797466	9	45	0.0083356424661327	3	11019000	25
20220531 193953	0	0	0	1	hist	lossguide	256	0	1	0.0100222313114824	0.469561373932235	10	441	0.0169940024493829	307	13154000	26
20220531 194232	0	0	0	1	hist	lossguide	256	0	1	0.0100398915991934	0.200049323405754	10	396	0.00878003319314116	50	12401000	27
20220531 194620	0	0	0	1	hist	lossguide	256	0	1	0.0100480623530101	0.999239599061092	10	630	0.0173086811909233	301	12930000	28
20220531 195026	0	0	0	1	hist	lossguide	256	0	1	0.0100530278751495	0.678774455065816	10	490	0.0219270760155093	378	12391000	29
20220531 195323	0	0	0	1	hist	lossguide	256	0	1	0.011790534732626	0.999490265595184	10	421	0.0132946839894145	185	13358000	30
20220531 195406	0	0	0	1	hist	lossguide	256	0	1	0.0676632111926807	0.938917804891829	10	553	0.00833405608928036	18	11388000	31
20220531 195759	0	0	0	1	hist	lossguide	256	0	1	0.010122191835544	0.23174786853273	10	65	0.0155528924672636	394	13140000	32
20220531 200206	0	0	0	1	hist	lossguide	256	0	1	0.0101147679310963	0.997448336407797	10	285	0.016666446452298	309	13220000	33
20220531 200556	0	0	0	1	hist	lossguide	256	0	1	0.0101083916655042	0.945036678146217	9	404	0.0142872107112776	282	13185000	34
20220531 200937	0	0	0	1	hist	lossguide	256	0	1	0.0100034925170907	0.210400179495584	7	326	0.0134323457554189	230	13206000	35
20220531 201329	0	0	0	1	hist	lossguide	256	0	1	0.0101475263672927	0.274380548292678	6	46	0.0139586180158697	305	13023000	36
20220531 201759	0	0	0	1	hist	lossguide	256	0	1	0.0101942964899283	0.200293548086627	4	333	0.0142267277227009	300	13084000	37
20220531 202146	0	0	0	1	hist	lossguide	256	0	1	0.0100486602006143	0.88876123900591	10	393	0.0152209833160857	300	13132000	38
20220531 202621	0	0	0	1	hist	lossguide	256	0	1	0.0101781908227217	0.996648726866975	4	291	0.0145772821292424	204	12065000	39
20220531 202956	0	0	0	1	hist	lossguide	256	0	1	0.010030589963478	0.409184567475881	6	485	0.0131246150319427	187	13222000	40
20220531 203305	0	0	0	1	hist	lossguide	256	0	1	0.0100558465838188	0.200614142977879	6	409	0.0128241702729431	93	12893000	41
20220531 203704	0	0	0	1	hist	lossguide	256	0	1	0.010024791943281	0.46780579709207	7	353	0.01342256873679	278	13437000	42
20220531 204055	0	0	0	1	hist	lossguide	256	0	1	0.0100553234500972	0.374455779539411	9	340	0.0140959629426255	330	13263000	43
20220531 204652	0	0	0	1	hist	lossguide	256	0	1	0.0100255889923625	0.404413574025472	7	3	0.0132533259293226	2293	13517000	44
20220531 205033	0	0	0	1	hist	lossguide	256	0	1	0.0100277913653514	0.422100238860314	7	916	0.0117482859456065	219	13060000	45
20220531 205425	0	0	0	1	hist	lossguide	256	0	1	0.0101774414817297	0.998588609147872	9	1022	0.0137262078456874	303	12978000	46
20220531 205802	0	0	0	1	hist	lossguide	256	0	1	0.0100349922140162	0.391158209407532	4	756	0.0112187979255582	101	12771000	47
20220531 205837	0	0	0	1	hist	lossguide	256	0	1	0.299939297146846	0.200512747558977	9	1023	0.014612023360632	23	10905000	48
20220531 210218	0	0	0	1	hist	lossguide	256	0	1	0.0101963627523022	0.99959552258461	7	940	0.0120434239467696	164	13338000	49
20220531 210553	0	0	0	1	hist	lossguide	256	0	1	0.0101679636087868	0.999031841937116	7	148	0.0117703562943907	161	13251000	50
20220531 210929	0	0	0	1	hist	lossguide	256	0	1	0.0100461918064707	0.679254503908556	7	581	0.0122771126353861	201	13177000	51
20220531 211335	0	0	0	1	hist	lossguide	256	0	1	0.0100399251733683	0.274892132559523	10	1024	0.0145618129900747	419	13289000	52
20220531 211608	0	0	0	1	hist	lossguide	256	0	1	0.0101398324689386	0.385936812858574	8	29	0.0134261410949664	121	13035000	53
20220531 212008	0	0	0	1	hist	lossguide	256	0	1	0.0101711100080829	0.390858729518498	7	138	0.012780310233915	314	13332000	54
20220531 212403	0	0	0	1	hist	lossguide	256	0	1	0.0100160241316388	0.906083744883383	6	976	0.0117163446352227	177	12822000	55
20220531 212507	0	0	0	1	hist	lossguide	256	0	1	0.010923669703535	0.99023526039685	10	2	0.0497874545385023	1	0	56
20220531 212822	0	0	0	1	hist	lossguide	256	0	1	0.0115253056074227	0.999559261513734	10	129	0.0137811488228668	225	13309000	57
20220531 213132	0	0	0	1	hist	lossguide	256	0	1	0.0100530712499881	0.655117777285353	7	4	0.0140837287236221	794	13269000	58
20220531 213524	0	0	0	1	hist	lossguide	256	0	1	0.010031630034617	0.201642040909817	10	801	0.0150932343405075	334	13212000	59
20220531 214022	0	0	0	1	hist	lossguide	256	0	1	0.0101341462641776	0.203633067964843	10	1019	0.0210199169738899	612	12860000	60
20220531 214353	0	0	0	1	hist	lossguide	256	0	1	0.0100133148530839	0.3700148567362	7	455	0.0156995697604112	199	12930000	61
20220531 214838	0	0	0	1	hist	lossguide	256	0	1	0.0103423413295766	0.45391543212524	4	2	0.0160562040658956	2025	12981000	62
20220531 214902	0	0	0	1	hist	lossguide	256	0	1	0.299887163971494	0.394063074098221	10	1024	0.0284286172797019	6	9827000	63
20220531 215222	0	0	0	1	hist	lossguide	256	0	1	0.0106451499015954	0.408693285661377	10	914	0.013256197278155	282	13139000	64
20220531 215247	0	0	0	1	hist	lossguide	256	0	1	0.299715437134945	0.999977875214921	10	271	0.0139384777799671	8	11944000	65
20220531 215621	0	0	0	1	hist	lossguide	256	0	1	0.0100295445215533	0.285547001256555	10	318	0.0138897823415192	311	13533000	66
20220531 220029	0	0	0	1	hist	lossguide	256	0	1	0.0102460082706938	0.486739471818258	4	398	0.0128633692287616	196	12886000	67
20220531 220408	0	0	0	1	hist	lossguide	256	0	1	0.0115929408611226	0.99876019895906	3	961	0.00835880415030726	63	12420000	68
20220531 220743	0	0	0	1	hist	lossguide	256	0	1	0.0100348562851594	0.999173087847883	7	728	0.0099628162326895	163	12706000	69
20220531 221124	0	0	0	1	hist	lossguide	256	0	1	0.0100923159055222	0.98185871797678	7	1024	0.0137536738151102	168	13260000	70
20220531 221640	0	0	0	1	hist	lossguide	256	0	1	0.0100160207342586	0.222348667417802	4	3	0.0219659036448223	1967	13141000	71
20220531 222019	0	0	0	1	hist	lossguide	256	0	1	0.0100157222659618	0.806555830922932	7	308	0.012609411401824	192	13437000	72
20220531 222405	0	0	0	1	hist	lossguide	256	0	1	0.0101318258311079	0.204364121661916	10	331	0.0189100924319343	330	12883000	73
20220531 222938	0	0	0	1	hist	lossguide	256	0	1	0.0103456123347604	0.21555258633413	4	3	0.0131724038085415	2134	13384000	74
20220531 223540	0	0	0	1	hist	lossguide	256	0	1	0.0103042699822867	0.202062978054027	4	3	0.0300023391127337	2379	12021000	75
20220531 223859	0	0	0	1	hist	lossguide	256	0	1	0.0100803712330532	0.416971441708718	10	286	0.0134295123141726	207	13088000	76
20220531 223931	0	0	0	1	hist	lossguide	256	0	1	0.168941444336177	0.24756266103147	10	435	0.0140276488771648	26	12593000	77
20220531 224334	0	0	0	1	hist	lossguide	256	0	1	0.0100123263353993	0.31270743412011	10	935	0.0169912034708103	420	13335000	78
20220531 224409	0	0	0	1	hist	lossguide	256	0	1	0.299553917980306	0.284409079490162	7	2	0.0123536860730167	193	12211000	79
20220531 224430	0	0	0	1	hist	lossguide	256	0	1	0.264558430495358	0.202554166790767	4	2	0.00833657028118529	63	10750000	80
20220531 224824	0	0	0	1	hist	lossguide	256	0	1	0.0106150045160167	0.206125092906886	3	2	0.0185590383037077	1547	13299000	81
20220531 225216	0	0	0	1	hist	lossguide	256	0	1	0.0102609394324412	0.272527831108313	10	466	0.014154630806637	359	13265000	82
20220531 225622	0	0	0	1	hist	lossguide	256	0	1	0.0100511014994937	0.66999080984972	8	846	0.0156455223136928	352	13077000	83
20220531 230003	0	0	0	1	hist	lossguide	256	0	1	0.0112709280354128	0.992789591308234	8	319	0.0130699747408211	283	12971000	84
20220531 230353	0	0	0	1	hist	lossguide	256	0	1	0.010046769582014	0.569439954221805	10	962	0.0171298319800969	329	13514000	85
20220531 230725	0	0	0	1	hist	lossguide	256	0	1	0.0100937099112241	0.741421474025962	7	891	0.0135917219660358	182	13502000	86
20220531 231124	0	0	0	1	hist	lossguide	256	0	1	0.0100557311286439	0.543371740065411	9	928	0.0179674975834247	362	13014000	87
20220531 231517	0	0	0	1	hist	lossguide	256	0	1	0.0100431665020736	0.631623924868009	10	879	0.0163475574402195	333	13251000	88
20220531 231915	0	0	0	1	hist	lossguide	256	0	1	0.0102936395249819	0.503677650887299	10	1023	0.0174695771329225	393	13214000	89
20220531 232056	0	0	0	1	hist	lossguide	256	0	1	0.0139837099421033	0.292916747960246	7	2	0.0124295541855769	457	12270000	90
20220531 232121	0	0	0	1	hist	lossguide	256	0	1	0.276767997268025	0.372277969417064	10	2	0.0138023317311489	107	12834000	91
20220531 232414	0	0	0	1	hist	lossguide	256	0	1	0.0102062399317666	0.420047132998537	6	24	0.0144725579407349	246	13275000	92
20220531 232526	0	0	0	1	hist	lossguide	256	0	1	0.0444309497728329	0.999146409996472	7	931	0.0126524462439449	48	12876000	93
20220531 232609	0	0	0	1	hist	lossguide	256	0	1	0.270670128739612	0.446494983797103	7	2	0.0140238884416733	262	13171000	94
20220531 232644	0	0	0	1	hist	lossguide	256	0	1	0.259826482561454	0.638383958888434	9	2	0.0104120680353941	195	12135000	95
20220531 233023	0	0	0	1	hist	lossguide	256	0	1	0.0100108415523565	0.585973162182595	7	1000	0.0132358065924959	212	13485000	96
20220531 233044	0	0	0	1	hist	lossguide	256	0	1	0.299958941259921	0.769743965758038	7	4	0.0130389496791992	46	12413000	97
20220531 233147	0	0	0	1	hist	lossguide	256	0	1	0.0554214349738139	0.833737646665101	3	455	0.00834320279715238	16	11922000	98
20220531 233218	0	0	0	1	hist	lossguide	256	0	1	0.149499474348615	0.615126561484885	10	830	0.0129616265866589	18	12653000	99
20220531 233249	0	0	0	1	hist	lossguide	256	0	1	0.140073492289847	0.20239308066048	10	631	0.0154940340150171	14	12160000	100
20220531 233652	0	0	0	1	hist	lossguide	256	0	1	0.0100334605199507	0.590327966721135	5	850	0.0129193236267634	194	13093000	101
20220531 233732	0	0	0	1	hist	lossguide	256	0	1	0.154710313879278	0.536288179719953	10	2	0.0155230053702722	162	12877000	102
20220531 233800	0	0	0	1	hist	lossguide	256	0	1	0.288986691207286	0.590296624448511	10	229	0.0171512464543357	10	11256000	103
20220531 234323	0	0	0	1	hist	lossguide	256	0	1	0.0100315793324111	0.200903952694069	0	196	0.012011951528789	165	8639000	104
20220531 234357	0	0	0	1	hist	lossguide	256	0	1	0.170156487437024	0.405072598706281	7	2	0.0136345384433709	171	12780000	105
20220531 234745	0	0	0	1	hist	lossguide	256	0	1	0.0100425967882734	0.592622609458432	7	842	0.013352608831299	249	13437000	106
20220531 235131	0	0	0	1	hist	lossguide	256	0	1	0.0105147879675732	0.264626269758014	10	834	0.0251905958470634	357	12016000	107
20220531 235521	0	0	0	1	hist	lossguide	256	0	1	0.0101392867666516	0.741794109413938	3	3	0.0131274629675569	1263	13087000	108
20220531 235858	0	0	0	1	hist	lossguide	256	0	1	0.0100395514136136	0.44773171947515	7	41	0.0138555532160926	300	13293000	109
20220601 000135	0	0	0	1	hist	lossguide	256	0	1	0.0102014822614272	0.390725304237131	4	10	0.0135216750430566	362	13497000	110
20220601 000206	0	0	0	1	hist	lossguide	256	0	1	0.15341490169711	0.398550481941281	8	309	0.00893947128179947	11	11470000	111
20220601 000558	0	0	0	1	hist	lossguide	256	0	1	0.0102325436862662	0.675969181846426	3	1010	0.0100423421420222	87	12850000	112
20220601 000730	0	0	0	1	hist	lossguide	256	0	1	0.0140538078874896	0.850353766807354	7	8	0.0129909699108665	129	13124000	113
20220601 000804	0	0	0	1	hist	lossguide	256	0	1	0.184786802283708	0.530792180783667	10	2	0.0139786914242725	172	12851000	114
20220601 000832	0	0	0	1	hist	lossguide	256	0	1	0.297532995606081	0.560224603877241	5	963	0.00833344752086171	8	9863000	115
20220601 000907	0	0	0	1	hist	lossguide	256	0	1	0.297022643162207	0.200192268139846	5	2	0.0243478650931567	186	12156000	116
20220601 001357	0	0	0	1	hist	lossguide	256	0	1	0.010290536546701	0.724554413065035	10	2	0.0173139863970512	1994	13109000	117
20220601 001612	0	0	0	1	hist	lossguide	256	0	1	0.0105057559670684	0.999720043404994	2	2	0.0085319231454932	630	10322000	118
20220601 002343	0	0	0	1	hist	lossguide	256	0	1	0.0101025694051438	0.392916077980396	5	2	0.0134986663827179	3488	12911000	119
