Feature	Gain	Cover	Frequency
ctrx_quarter	0.17654985965696	0.0164523437211366	0.0133347342246504
ctrx_quarter_lag1	0.0409430955437138	0.00900808567990589	0.00900948228310262
mcuentas_saldo	0.0408821190997717	0.0134401601669413	0.0193935891711101
mtarjeta_visa_consumo	0.0373768682040129	0.0122750058798437	0.01566371603933
mcaja_ahorro	0.0241138473884179	0.00801313184432091	0.0115048199416879
mdescubierto_preacordado	0.0214199696872345	0.000976084863276246	0.00123453547319482
cpayroll_trx	0.0201285733694798	0.00855294953362688	0.00451787449764913
foto_mes	0.0191608469002253	0.0145326340760018	0.0159351387320182
mpayroll	0.0163610994587381	0.0126976129500229	0.00635654435134354
mprestamos_personales	0.0155470381311786	0.00746246704107457	0.00330085016591807
ctarjeta_visa	0.0154461721257825	0.000414616872703834	0.000647912234158984
mcuenta_corriente	0.014373787945251	0.00712302470416635	0.0105767294441088
mdescubierto_preacordado_delta1	0.0114847697619099	0.00379876302392002	0.00099813506343411
Visa_fultimo_cierre_lag1	0.010514865635058	0.0028046845775296	0.00506947545375745
mpasivos_margen	0.0104607122648366	0.00831156558203622	0.00956108323921095
Master_status	0.00983566523369713	0.00191359541306623	0.000840534790260303
mactivos_margen	0.00912425938046402	0.00795358437404281	0.0130458003904985
cproductos_delta1	0.00903651036500114	0.00399148249640765	0.00134835789270924
cliente_edad	0.00881246157607386	0.00996261890431112	0.0157074938929894
ctrx_quarter_delta1	0.00879908509833289	0.00728076540603517	0.0120564208977962
numero_de_cliente	0.00876571042167361	0.00936483096316028	0.0169157626539886
mrentabilidad_annual	0.00866997050030768	0.00773849069275181	0.0112771751026591
Visa_status	0.00864452082682261	0.000741271888549774	0.000551600956108324
mrentabilidad_annual_delta1	0.00837492118354948	0.0070467956996457	0.0128969556880565
cliente_edad_lag1	0.00748163453110406	0.00782106613477673	0.0131421116685491
ctarjeta_visa_trx	0.00684123256368906	0.00802632937709876	0.0109181967026521
mprestamos_personales_delta1	0.006798053115904	0.00848627874572386	0.00314324989274426
Master_fechaalta	0.0065439082249722	0.00880296563987963	0.0115836200782748
Visa_fechaalta_lag1	0.00652778969764389	0.0046634035369579	0.00975370579531227
Visa_Fvencimiento	0.0063869692364325	0.00757230803156127	0.0118025093465718
Master_Fvencimiento	0.00620802608699268	0.00594617535848521	0.0108744188489927
Visa_Fvencimiento_lag1	0.00600550370831365	0.00584005256807863	0.0114347753758329
mcuenta_corriente_lag1	0.0058348741187653	0.00759864575487007	0.0097799725075079
mcuentas_saldo_delta1	0.00557482281411536	0.00837986709758148	0.0104979293075219
mcaja_ahorro_dolares_delta1	0.00545292261384887	0.00560679343025422	0.00639156663427106
Visa_fechaalta	0.00542153835233015	0.00531074491536049	0.00995508392214547
Master_Fvencimiento_lag1	0.00541737431237067	0.00382602420271859	0.0103140623221525
chomebanking_trx	0.00534962726410062	0.00462428861180686	0.00928090497579085
Master_fechaalta_lag1	0.00528012417079234	0.00609502364241884	0.0105942405855726
mcaja_ahorro_lag1	0.00513785443584476	0.00625351316657092	0.00937721625384151
mrentabilidad	0.00503972798908464	0.00401630026686938	0.00813392520991481
mrentabilidad_annual_lag1	0.00502320590049515	0.00665679743275455	0.00920210483920394
mcaja_ahorro_delta1	0.00483360092794622	0.00698824520252421	0.00822148091723359
mprestamos_personales_lag1	0.00474268905247015	0.00255821748106426	0.00154098044881056
Visa_mpagominimo	0.00465322387272994	0.006656496462619	0.00931592725871836
ccaja_ahorro	0.00464695476931551	0.00361617488387616	0.00277551592200538
mactivos_margen_delta1	0.00438358418653976	0.00412697088007817	0.00767863553185714
mtransferencias_recibidas	0.00437334301472354	0.00469775836566809	0.00724085699526324
mactivos_margen_lag1	0.00436051061064733	0.00586659965191728	0.00752979082941522
mcuenta_corriente_delta1	0.00435983167131535	0.00724656811518249	0.00810765849771917
cliente_antiguedad_lag1	0.00432883179315252	0.00418995045248786	0.00857170374650872
Visa_mfinanciacion_limite	0.0043065225747436	0.00445577515693285	0.00658418919037238
mcomisiones_mantenimiento	0.00428984922288053	0.00702407874059371	0.0048505861854605
Visa_mpagospesos_lag1	0.00424528845817454	0.00515377327421501	0.0080989029269873
mcuentas_saldo_lag1	0.00421237175439703	0.00703760146830662	0.00766987996112527
mrentabilidad_delta1	0.00410558268097674	0.00442481524988668	0.00768739110258902
cproductos	0.00401425008957258	0.00726378704133799	0.00794130265381349
Master_mfinanciacion_limite	0.00390215596081651	0.00413593198605245	0.00711827900501694
Visa_mpagominimo_lag1	0.00386317152793117	0.00512631745375211	0.0072145902830676
cliente_antiguedad	0.00383803170692007	0.00367743464884291	0.00780121352210344
Visa_fultimo_cierre	0.00368050980124647	0.003812121697611	0.00656667804890862
chomebanking_trx_delta1	0.00363510774009572	0.00727307441549793	0.00717081242940821
mrentabilidad_lag1	0.00354308098935734	0.00392898818659553	0.00689063416598811
Visa_mpagospesos_delta1	0.00352614274721644	0.00499570791403645	0.00766112439039339
mcaja_ahorro_dolares_lag1	0.00339029078421991	0.00363835675083794	0.00620769964890161
mtransferencias_recibidas_lag1	0.00329670038585694	0.00584446577458994	0.00692565644891562
mpasivos_margen_lag1	0.00323443856281632	0.00468484769744633	0.00650538905378547
chomebanking_trx_lag1	0.00319756525043324	0.00282410244086497	0.00690814530745187
ccomisiones_mantenimiento_delta1	0.00316913427950493	0.00520824181596011	0.00146218031222365
Visa_Finiciomora	0.00316216887873033	0.00608925262056343	0.00126080218539045
Visa_mconsumospesos	0.00314524407495447	0.00309468724175082	0.00663672261476364
ccomisiones_mantenimiento	0.00313690316104382	0.00337261522331528	0.00134835789270924
Master_fultimo_cierre_lag1	0.00309061128763388	0.00395330536230811	0.00612014394158283
Visa_mconsumospesos_lag1	0.0030294186344389	0.00283468599511964	0.00606761051719156
Master_mfinanciacion_limite_lag1	0.00302362659075339	0.00499498952607408	0.00557729855620639
Visa_mpagospesos	0.00300692239054491	0.00504688724930269	0.00675930060500994
mcomisiones	0.00296018319639492	0.00284819538386067	0.00481556390253299
Visa_mfinanciacion_limite_lag1	0.00295739399282542	0.00243414587742612	0.00511325330741684
mcomisiones_otras	0.00294821058236842	0.00425075975884114	0.00555978741474263
thomebanking	0.00291738414896426	0.00169991673604471	0.00137462460490487
Visa_mpagominimo_delta1	0.0028869113548664	0.00306084266704528	0.00532338700498192
Visa_msaldopesos	0.00280311140473714	0.00252938621328295	0.00451787449764913
ccomisiones_otras	0.00276143716810703	0.00547879188952262	0.0048505861854605
mcaja_ahorro_dolares	0.00273513504090043	0.00555831186371956	0.00554227627327887
mpasivos_margen_delta1	0.00273357117795519	0.00363155939475565	0.00604134380499593
Visa_cconsumos_lag1	0.00271776052510945	0.00417036960838118	0.0051307644488806
mcuenta_debitos_automaticos	0.00259773005197217	0.00831946600976407	0.00403631810739583
Master_fultimo_cierre	0.00251499293561584	0.00268396044254633	0.00545472056596009
Visa_mlimitecompra_lag1	0.0024812120345351	0.00276872240270834	0.00410636267325086
Visa_msaldototal	0.00246311289996842	0.00343757057343856	0.00453538563911289
Visa_mconsumosdolares_lag1	0.00239257349652316	0.00266362119356165	0.00497316417570679
mtarjeta_visa_debitos_automaticos_lag1	0.00236563522271667	0.00489608618588284	0.00450911892691725
cmobile_app_trx	0.00233136720271265	0.00273262492164936	0.00485934175619238
Visa_mconsumospesos_delta1	0.00231814943890078	0.00301115530344947	0.00520080901473563
Visa_cconsumos	0.00231377120741042	0.00254558286823173	0.00472800819521421
mpayroll_lag1	0.00230419582959077	0.00702899453503388	0.00478929719033735
Master_mlimitecompra	0.00229949172765646	0.00278005807565885	0.00375613984397573
mtransferencias_emitidas	0.00225567398296019	0.00664129693414834	0.00571738768791644
mcomisiones_otras_lag1	0.00222268285243191	0.00171299452471871	0.00418516280983776
mcomisiones_mantenimiento_lag1	0.00221623619641414	0.0062880792723299	0.00394876240007705
ccomisiones_otras_lag1	0.0021866735585349	0.00417267219090574	0.00425520737569279
mtransferencias_emitidas_delta1	0.00218043237592459	0.00369429043298819	0.00409760710251898
mtarjeta_visa_consumo_lag1	0.00214940967255111	0.00402942842166133	0.00311698318054862
Visa_msaldopesos_lag1	0.00213860707491984	0.00223575826182021	0.00346720600982375
mcomisiones_lag1	0.00208308229743472	0.0016243529935812	0.00373862870251197
Master_mlimitecompra_lag1	0.00205613671457996	0.00331752112978564	0.00356351728787441
mtransferencias_recibidas_delta1	0.00205075320994034	0.0036073279257704	0.00479805276106923
mpagomiscuentas	0.00204568909164393	0.00408875978526288	0.00353725057567878
mtransferencias_emitidas_lag1	0.0020074869125072	0.00274739553317952	0.00478054161960547
Visa_mlimitecompra	0.00198794703971189	0.00228139257114536	0.00359853957080192
cprestamos_personales	0.00196453342101102	0.00251820117872172	0.000980623921970354
ccallcenter_trx_delta1	0.00196146214368991	0.0022026845876962	0.00123453547319482
mtarjeta_visa_debitos_automaticos	0.00193838976653738	0.00247996240937283	0.00387871783422202
mcomisiones_otras_delta1	0.00185635432714725	0.00351724501906268	0.00383493998056263
tcallcenter	0.00183114066420052	0.000884539192646856	0.00102440177562974
Visa_Finiciomora_lag1	0.00182115886840761	0.00525835273024337	0.000971868351238475
Visa_mconsumosdolares	0.00180828607131035	0.00322023479496098	0.00376489541470761
ccaja_ahorro_delta1	0.00175639256867844	0.00592281268586935	0.000612889951231471
Visa_msaldopesos_delta1	0.00174025950991919	0.00276125127522478	0.00339716144396873
mcomisiones_delta1	0.00173673134939552	0.00181216165457792	0.00366858413665695
cproductos_lag1	0.00173657166614878	0.00281199671060126	0.00373862870251197
cmobile_app_trx_lag1	0.00170252743342436	0.00308383591146877	0.00406258481959147
ctransferencias_recibidas_lag1	0.00170137643312092	0.00267502532456898	0.00382618440983075
mpayroll_delta1	0.00168305014866586	0.00870090027340691	0.00449160778545349
mtarjeta_master_consumo	0.00167570992560803	0.00144943798211798	0.00125204661465858
Visa_msaldototal_lag1	0.00166761810679396	0.00145523644852471	0.00288933834151979
mtarjeta_visa_debitos_automaticos_delta1	0.00165425617837766	0.00515834141211806	0.0031257387512805
Visa_cconsumos_delta1	0.00163854078923781	0.00338940607579861	0.00339716144396873
ctransferencias_recibidas	0.00162964574766029	0.00315964772814488	0.00321329445859928
mautoservicio	0.00159691419639509	0.0047933451314899	0.00397502911227268
Visa_msaldototal_delta1	0.00158085053584986	0.0026128507667781	0.00376489541470761
ccallcenter_trx	0.00154099445502446	0.00656127751511363	0.00253911551224467
ctarjeta_visa_trx_lag1	0.00150744352911756	0.00450844071431268	0.0037298731317801
internet	0.00149493186537745	0.00361804670960203	0.00213635925857827
ctarjeta_debito	0.00139120104961462	0.00176360480717899	0.00265293793175908
ctarjeta_visa_debitos_automaticos_lag1	0.00132594906634732	0.00292322970713007	0.00240778195126649
ctarjeta_debito_trx	0.00127866134270158	0.00147992466230558	0.00271422692688223
cmobile_app_trx_delta1	0.00124433536945235	0.00254331117999261	0.00287182720005604
Visa_mconsumosdolares_delta1	0.00123274733023073	0.00192639446322447	0.00281929377566477
Master_fultimo_cierre_delta1	0.00121958961597856	0.00107160777068672	0.00233773738541147
mpagomiscuentas_lag1	0.00121520304382791	0.00383532828892376	0.00258289336590406
ccaja_seguridad	0.00121297708346406	0.00298156624407622	0.000639156663427105
mautoservicio_delta1	0.00119920220582093	0.00584601363195289	0.00298564961957045
Master_mpagospesos_lag1	0.00119815343742791	0.00340461380697036	0.00275800478054162
ctransferencias_emitidas	0.00119312985191339	0.00632127276721852	0.00295938290737482
mautoservicio_lag1	0.00118398128956416	0.00261279626097923	0.00314324989274426
Master_mpagominimo_lag1	0.00117445023545938	0.00278786030095582	0.00209258140491888
Master_mpagospesos	0.00116241389825273	0.00397636445832265	0.00329209459518619
mtarjeta_visa_consumo_delta1	0.00113719130227167	0.00283635168006749	0.00309071646835299
ctarjeta_debito_lag1	0.00112598838237508	0.00188167418011587	0.00212760368784639
ctarjeta_debito_trx_lag1	0.00108305246695934	0.00419396670959472	0.00281053820493289
ctransferencias_emitidas_lag1	0.00106173341802054	0.00344971110768636	0.00213635925857827
Master_msaldototal	0.00104686538881061	0.00287619771886671	0.00260916007809969
ccomisiones_otras_delta1	0.00103062884035321	0.00149788949763554	0.00197875898540446
Master_mpagominimo	0.00102276710247706	0.0045609385379542	0.00218013711223766
mcuenta_debitos_automaticos_lag1	0.00102120635594507	0.00205032485774654	0.00245155980492588
cplazo_fijo	0.00101234763045334	0.00265587600386857	0.00042902296586203
ccaja_seguridad_lag1	0.00100835226122077	0.000795026182013427	0.00033271168781137
Master_msaldopesos	0.00100567256236023	0.00217565745419152	0.00192622556101319
Visa_fultimo_cierre_delta1	0.000996692103666293	0.00186111752122176	0.00204004798052761
mcomisiones_mantenimiento_delta1	0.000991815894356674	0.00789826742768994	0.00156724716100619
ctarjeta_master	0.000991256025126668	0.000405398723208285	0.000288933834151979
internet_lag1	0.000939730932661809	0.00284799284613828	0.00189120327808568
Visa_mpagado	0.000878749304535963	0.00299519338374141	0.00209258140491888
mtarjeta_master_consumo_lag1	0.000867288770622817	0.00150506310471765	0.000849290360992181
mdescubierto_preacordado_lag1	0.000864130981038697	0.000884451646061323	0.00101564620489787
ctarjeta_visa_trx_delta1	0.000850771877848977	0.00246108324118329	0.00210133697565076
Master_msaldototal_lag1	0.000836643768991368	0.00112925229097124	0.00186493656589005
Master_mpagospesos_delta1	0.000815788088619954	0.00444661388971967	0.00195249227320883
ctransferencias_emitidas_delta1	0.000786809068169096	0.00288657221923456	0.00173360300491188
ccuenta_debitos_automaticos_lag1	0.000782997152411113	0.00303676482621889	0.0015234693073468
ctarjeta_debito_trx_delta1	0.000782944691713152	0.00299609200114562	0.00205755912199137
ctarjeta_visa_debitos_automaticos	0.000754042774891401	0.00122365779117443	0.00159351387320182
ccajas_consultas_delta1	0.00074095194788218	0.00480987886379121	0.000796756936600912
Master_msaldopesos_lag1	0.000736158961873671	0.00150591189262922	0.00139213574636863
mextraccion_autoservicio_delta1	0.000729488547401815	0.00250342305443729	0.00163729172686122
Master_status_lag1	0.000717551533060864	0.00246733638254518	0.00033271168781137
ctransferencias_recibidas_delta1	0.000715726043976487	0.00168781123576327	0.00175986971710751
Master_mconsumospesos_lag1	0.000707761832244485	0.00155634401548812	0.00187369213662193
mextraccion_autoservicio	0.000680716886579488	0.00226843805297007	0.00163729172686122
Master_mconsumospesos	0.00066410119543064	0.00162276887567976	0.00181240314149878
mextraccion_autoservicio_lag1	0.000646010487232312	0.0010290545338827	0.00205755912199137
ctarjeta_visa_debitos_automaticos_delta1	0.000630768567427724	0.00182215001470818	0.000770490224405278
Master_msaldopesos_delta1	0.000625213703609567	0.00312438301289907	0.00126080218539045
mcuenta_debitos_automaticos_delta1	0.000623449669264044	0.00336068826593901	0.0015234693073468
Visa_mpagado_delta1	0.000603381577142894	0.00219957829378572	0.00119075761953543
mprestamos_prendarios	0.000602981215659315	0.00578707860446973	0.000604134380499593
cpayroll_trx_lag1	0.000602960606408755	0.000670558395578417	0.000691690087818374
Master_mpagominimo_delta1	0.000591335360077123	0.002511213014013	0.00130458003904985
matm_lag1	0.000586115730301486	0.00162704570270276	0.00197000341467259
cextraccion_autoservicio	0.000574755941857538	0.00150918561363497	0.0011207130536804
thomebanking_lag1	0.000565918071044548	0.000739644150677088	0.000963112780506597
Master_mfinanciacion_limite_delta1	0.000563818130682033	0.00638715839563903	0.00106817962928914
ccaja_ahorro_lag1	0.000559642617141772	0.00106574115286621	0.000971868351238475
cpagomiscuentas_lag1	0.000559049533444261	0.00125486523580789	0.00142715802929614
ccuenta_debitos_automaticos	0.000554016092419111	0.00216873874412946	0.00129582446831797
ccomisiones_mantenimiento_lag1	0.000553321578231918	0.00126919665785599	0.00111195748294853
mplazo_fijo_dolares_delta1	0.00054645364591485	0.00454218448012157	0.000682934517086496
ccajas_trx_delta1	0.00051980830178761	0.00144635614298927	0.000586623239035837
Master_mconsumospesos_delta1	0.000504300559111851	0.00204258886734441	0.00122577990246294
mplazo_fijo_dolares	0.000487253563732999	0.00274940358507219	0.000542845385376446
mpagomiscuentas_delta1	0.000473183412881305	0.00143101716859998	0.00138338017563675
Visa_msaldodolares_lag1	0.000470657935782052	0.00139030172014531	0.00133084675124548
Visa_mpagosdolares	0.000460804739296406	0.00104864373401199	0.00105066848782538
Master_msaldototal_delta1	0.000444480130324522	0.00123460471742159	0.000910579356115328
cextraccion_autoservicio_lag1	0.000421947732823661	0.00273773160137672	0.00113822419514416
Master_cconsumos	0.000419603696582091	0.00184649770140242	0.00106817962928914
Master_cconsumos_lag1	0.000419111700969123	0.00143952497951274	0.0010419129170935
cprestamos_personales_delta1	0.000417733890454638	0.00145917412835472	0.000315200546347614
